latitude,longitude,previousSpeed,speed,gpsSpeed,speedLimit,accX,accY,accZ,Anticipation,drivingSkill,selfConfidence,drivingScore,drivingStyle,driverState,createdAt,braking,acceleration,cornering,,,,
0,0,1,5.346372128,7.111,0,-1,-0.31345975,7.4712896,6.1456656,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.008
0,0,-100,7.111493111,7.111,0,-1,-1.3791631,7.52782,10.473385,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.008
0,0,1,7.111493111,7.111,0,-1,-1.7168503,7.279565,6.3882384,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.008
0,0,1,7.111493111,7.111,0,-1,-2.7454648,6.166304,8.139485,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,7.111493111,7.111,0,-1,0.5066802,6.625427,7.0728846,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,7.111493111,5.028,0,-1,-0.19621146,8.147262,6.824031,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,-100,5.027748871,5.028,0,-1,0.86949193,7.570592,5.9668026,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.027748871,5.028,0,-1,2.2507489,8.991031,10.026226,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.027748871,5.028,0,-1,-2.5405796,8.181958,4.2421756,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.027748871,5.028,0,-1,0.77647096,9.712467,6.0918274,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.027748871,5.028,0,-1,0.5712864,7.54786,6.928418,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.027748871,5.028,0,-1,-1.3130615,7.1105714,5.770591,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.027748871,5.028,0,-1,-1.7943178,6.2327046,8.647362,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.027748871,5.028,0,-1,-0.8210373,6.680462,6.8201427,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.027748871,5.028,0,-1,0.6978069,6.7525454,6.9933233,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.011
0,0,1,5.384723854,5.385,0,-1,1.2894323,7.7473617,6.349953,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,1,5.384723854,5.385,0,-1,-1.0947163,6.2922263,7.3959155,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,1,5.384723854,5.385,0,-1,-0.9667004,8.014759,5.7095737,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,1,5.384723854,5.385,0,-1,-1.0971092,6.7962146,8.166405,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
